City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,waingapu,-9.6567,120.2641,295.92,87,scattered clouds,2.73,ID,1690658079
1,port elizabeth,-33.918,25.5701,287.33,52,broken clouds,10.51,ZA,1690657724
2,edinburgh of the seven seas,-37.0676,-12.3116,287.84,88,overcast clouds,8.03,SH,1690657601
3,puerto natales,-51.7236,-72.4875,278.87,85,light rain,8.51,CL,1690657599
4,nikolayevsk-on-amure,53.1406,140.73,287.21,98,overcast clouds,1.69,RU,1690657646
5,grytviken,-54.2811,-36.5092,274.23,97,snow,10.3,GS,1690657594
6,wailua homesteads,22.0669,-159.378,300.39,85,light rain,6.69,US,1690657602
7,adamstown,-25.066,-130.1015,292.11,57,few clouds,10.57,PN,1690657609
8,karaton,-6.3424,106.1045,295.55,88,overcast clouds,0.15,ID,1690658084
9,zhangye,38.9342,100.4517,298.09,40,clear sky,3.62,CN,1690657485
10,praia da vitoria,38.7333,-27.0667,300.29,78,scattered clouds,2.0,PT,1690657505
11,mar del plata,-38.0023,-57.5575,289.23,69,clear sky,8.75,AR,1690657612
12,whangarei,-35.7317,174.3239,281.27,88,broken clouds,1.34,NZ,1690657810
13,machico,32.7,-16.7667,300.38,76,few clouds,5.14,PT,1690658085
14,kapa'a,22.0752,-159.319,301.14,85,light rain,6.69,US,1690657776
15,yellowknife,62.456,-114.3525,294.74,42,overcast clouds,4.23,CA,1690657607
16,shenjiamen,29.9576,122.298,300.71,85,light rain,7.35,CN,1690658086
17,saudarkrokur,65.7461,-19.6394,283.84,85,overcast clouds,2.43,IS,1690657829
18,ushuaia,-54.8,-68.3,279.96,81,moderate rain,9.26,AR,1690657599
19,essaouira,31.5125,-9.77,298.87,80,clear sky,7.2,MA,1690658087
20,port-aux-francais,-49.35,70.2167,275.63,60,overcast clouds,8.81,TF,1690657608
21,ulaangom,49.9811,92.0667,291.63,49,clear sky,2.39,MN,1690657797
22,bethel,41.3712,-73.414,305.12,69,scattered clouds,3.09,US,1690657595
23,vieste,41.8825,16.175,299.21,61,clear sky,1.43,IT,1690658087
24,carnarvon,-24.8667,113.6333,288.94,73,clear sky,6.85,AU,1690657621
25,saipan,15.1355,145.701,299.54,89,clear sky,2.06,MP,1690657627
26,qaqortoq,60.7167,-46.0333,280.88,76,scattered clouds,1.45,GL,1690657646
27,vadso,70.0744,29.7487,284.64,96,light rain,10.04,NO,1690657720
28,bouarfa,32.53,-1.95,310.14,10,broken clouds,3.62,MA,1690658089
29,ko pha ngan,9.7578,100.0291,299.07,77,overcast clouds,7.99,TH,1690658089
30,bredasdorp,-34.5322,20.0403,282.75,81,scattered clouds,6.92,ZA,1690657622
31,taoudenni,22.6783,-3.9836,316.12,9,few clouds,5.92,ML,1690658090
32,villa gesell,-37.2639,-56.973,288.74,66,few clouds,8.02,AR,1690657554
33,waitangi,-43.9535,-176.5597,282.49,72,overcast clouds,10.71,NZ,1690657598
34,nabire,-3.3667,135.4833,297.67,91,overcast clouds,1.87,ID,1690657896
35,newnham,-41.3833,147.1333,285.55,91,overcast clouds,12.35,AU,1690657537
36,lillehammer,61.1146,10.4674,289.52,82,light rain,1.48,NO,1690658091
37,ascension,30.2169,-90.9001,309.86,46,clear sky,1.54,US,1690657546
38,kokopo,-4.352,152.2633,297.78,88,few clouds,1.63,PG,1690658091
39,avarua,-21.2078,-159.775,297.18,94,light rain,4.12,CK,1690657594
40,west island,-12.1568,96.8225,298.14,78,broken clouds,9.26,CC,1690657601
41,kapuskasing,49.4169,-82.4331,293.71,45,broken clouds,3.23,CA,1690657830
42,albany,42.6001,-73.9662,302.13,75,broken clouds,0.45,US,1690657434
